wrd1,wrd2,Count
'RT', '@bfraser747:',725
'RT', '@FoxNews:',676
'@HillaryClinton', 'is',446
'job', 'to',391
'@FoxNews:', 'Trump:',380
'@realDonaldTrump', '@HillaryClinton',341
'to', 'be',319
'RT', '@NadelParis:',301
'@HillaryClinton', '@realDonaldTrump',286
'This', 'man',270
'man', 'wears',262
'Trump:'," '""@HillaryClinton'",262
'Orange', 'on',262
'protect', 'identity',262
'#LoveTrumpsHates', '#STOPLIBEL',262
'identity', '#NeverTrump',262
'wears', 'catheter!',262
'#NeverTrump', '#LoveTrumpsHates',262
'catheter!', 'Orange',262
'on', 'face2',262
'face2', 'protect',262
'#STOPLIBEL', ':@HillaryClinton',262
'@NadelParis:', 'This',261
':@HillaryClinton', 'https:/',261
'of', 'the',246
'to', 'give',239
'in', 'the',237
'This', 'is',234
'to', 'a',233
'for', 'the',232
'is', 'a',232
'Colin', 'Powell',231
'&amp;', '@HillaryClinton',218
'would', 'rather',209
'a', 'job',205
'unemployed', 'African',200
'than', 'to',199
'a', 'refugee',198
'to', 'the',192
'want', 'to',187
"'""@HillaryClinton'", 'would',186
'rather', 'provide',184
'African', 'Amer',184
'about', '@HillaryClinton',184
'give', 'that',184
'that', 'job',183
'provide', 'a',183
'to', 'unemployed',183
'refugee', 'from',182
'overseas', 'than',182
'from', 'overseas',182
'is', 'the',174
'concerned', 'about',160
'to', 'Louisiana',156
'do', 'you',156
'@FoxNews', '@HillaryClinton',155
'@FoxNews:', '.@realDonaldTrump:',153
'work', 'for',148
'Donald', 'Trump',147
'will', 'work',143
'wants', 'to',143
'have', 'to',142
'a', 'Trump',140
'you', 'have',140
'for'," ""@HillaryClinton's""",139
'some', 'of',139
@HillaryClinton's," 'donors.""'",138
"'""In'", 'a',138
'Trump', 'Administration,138
'not', 'for',137
'@StateDept', 'will',137
'Administration,',137
'country,',137
'the', '@StateDept',137
'for', '@HillaryClinton',137
'the', 'country,137
'Trump:'," '""In'",137
'help', 'to',137
'of', 'that',136
'@HillaryClinton', 'take',132
'some', 'help',131
'WAKE', 'UP',131
'&amp;', 'send',130
'that', '#ClintonCrimeFoundation',130
'Why'," ""can't""",130
'going', 'to',130
can't, '@HillaryClinton',130
'take', 'some',130
'send', 'some',130
'Louisiana', 'https:',129
'what', '@realDonaldTrump',126
'far', 'more',125
'@HillaryClinton', '&amp;',125
'more', 'concerned',124
'@HillaryClinton', '@sahilkapur',124
I'm, 'far',124
'ACTIONS', 'than',123
'@bfraser747:', 'WAKE',123
'than', 'what',123
'@HillaryClinton', 'ACTIONS',123
