,0,1,2
0,"@_tanaii @DJD @HillaryClinton stop being sexist, start supporting hillary. #ImWithHer","Massachusetts, USA",pos
1,Quit making excuses the president and @HillaryClinton where not there when the people needed them! #USA tDfGi2J,"Bowling Green, OH",neu
2,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back ","Kadky, stanbul",neg
3,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Oklahoma,neu
4,It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate ,U.S.A,neg
5,"@CNN @hillaryclinton @wsj @SenSanders @WSJ @abc HRC usual tactic of lie,lie,lie, evade, or delay. Same ol' Hillary! ","Fort Worth, TX",neg
6,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" .","Miami, Fl",neu
7,Your clothing line is made off shores.  ,Home of the Free. ,neg
8,@miner333 @HillaryClinton  it's an ugly word...but the word applies to her.,Los Angeles,neg
9,@TeddyDavisCNN @CNN @HillaryClinton Please get Trump off the air now. Stop airing his entire rallies!! There has to be other news to cover,winter park florida ,pos
10,RT @TeddyDavisCNN: Donald Trump just said that @HillaryClinton would rather give a job to a refugee than to an unemployed African American.,Wisconsin ,neu
11,RT @NeilTurner_: @HillaryClinton Hillary cannot be trusted with classified information. #ExposeHillary #Reckless ,"Albany, LA",neg
12,@HillaryClinton this coming from the bogus Clinton foundation?,"Las Vegas, NV ",neu
13,RT @AceRealityCheck: State Department Confirms @HillaryClinton NEVER Used Her Position For Personal Gain -  @StateDe,wnc,pos
14,RT @JewhadiTM: Judge: .@HillaryClinton must answer written questions from Judicial Watch about use of private emails @AP ,Chicago,neu
15,@HillaryClinton DEMENTIA OR PARKINSON'S?  #TrumpPence2016,"North Pole, AK",neu
16,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http","Cle Elum, WA",neg
17,"@ddlovato Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song ",USA,neu
18,@FoxNews @HillaryClinton Boom Daddy Sic her Trump!!!,"South Carolina, USA",neu
19,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back ","North Carolina, USA",neg
20,"RT @TheEllenShow: Happy birthday, @BillClinton! I hope @HillaryClinton got you some balloons. ",Bay Area,neu
21,RT @finnygo: #colinpowell office statement to @foxnews on @HillaryClinton ,"Providence, RI, USA",neg
22,@realDonaldTrump forgot to mention the GOP congress is to blame for the state of the country @HRC2016VOTEBLUE @donmarvin @HillaryClinton,"New York, NY",neg
23,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https,Toronto Canada,neg
24,RT @matthewsdolan: .@realDonaldTrump going hard against @HillaryClinton on who would best represent interests of African Americans. @freep,"T: 42.735518,-84.486954",pos
25,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" .","Tyler, TX",neu
26,RT @AceRealityCheck: 10 Things @realDonaldTrump Supporters Are Too Stupid To Realize  - #DimWitDonnie #DumpTrump @Hi,wnc,neg
27,"RT @Bikers4Trump: Happy #WorldPhotoDay to Lyin' Crooked @HillaryClinton!
#LockHerUp &amp; Join us at 
#RETWEET ","Naples, FL",pos
28,RT @HillarysAmerica: What's going on with @HillaryClinton's health? Thats a question many people (but not the media) are asking. ,USA,neu
29,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Third stone from the sun.,neu
30,"RT @bob_owens: .@HillaryClinton There is no ""free."" You're sticking these students and their children and their children with the bill, plu","North Carolina, USA",neg
31,"@HillaryClinton #artofsuccess a new world order comes and goes,so as opportunity,  efforts must champion a rainbow focused nation of winners",Johannesburg,pos
32,@Gene_Starwind @HillaryClinton @thinkprogress  where these questions also raised when Reagan was running in this matter especially 2nd term?,Haarlem - The Netherlands,neg
33,@SenateMajLdr @SpeakerRyan @GOP @clairecmc @HillaryClinton @NancyPelosi @SenWarren @SenFeinstein @timkaine THUGS! pW1,"Golden, CO",neg
34,RT @onlinesarcasm: .@gene70 That was sarcasm. Oh you can be the next Bill Murray! Like if you agree or Reply with #Yes or #No ,Texas,neg
35,@hale_razor @MattMackowiak @HillaryClinton And you think EVERY foundation must make flood relief a priority?,Nosara and New York,pos
36,"Another @HillaryClinton Lie.  If all this talk is not a lie, then she is without a doublt incompetent. #Liars ",United States,pos
37,Thank you @HillaryClinton for mentioning our Guru: Hillary Clinton Statement on the Passing of Pramukh Swami Maharaj ,"Sugar Land, TX",neu
38,RT @ShaneMosley_: I would like 2 do my own honest poll. Who is voting 4 @realDonaldTrump &amp; who is 4 @HillaryClinton. @MichaelCohen212,"North Carolina, USA",neg
39,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",United States,neu
40,"If uwant 2know who will b President that is present&amp;amongst the ppl, turn on tv, @realDonaldTrump out there daily. Where's @HillaryClinton?",San Francisco CA,neg
