No,Text,location,status
0,Old mate @realDonaldTrump is in for a long presidency if he can't handle a comedy skit or 2... https://t.co/YVKEUP5km8,"Victoria, Australia",neg
1,"RT @Warmustbeend123: @ABFalecbaldwin Alec, on next week's SNL, please play @realDonaldTrump mocking u online and calling u one-sided and un…",SoCal,neg
2,@realDonaldTrump Boy King Donnie making George W Bush look intelligent since 1946! 😂😂😂 https://t.co/Em8xXe3NW0,United States,pos
3,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94","St Louis, MO",pos
4,RT @ignatzz: @realDonaldTrump The whole country thinks Baldwin has you DOWN.  You actually do look that stupid.  Really.,"College Park, Maryland",neg
5,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it..",United States,pos
6,RT @katbkm_b: I agree almost as nerve racking as actual election #TheSilentMajority silent no more @realDonaldTrump… ,LandOfNoAccentNorthCarolinaUSA,neg
7,"RT @ObiWine_Kenobi: .@realDonaldTrump You called Taiwan &amp; didn't know that was A Thing, or Taiwan called &amp; you didn't know you were being p…","Alexandria, VA",neu
8,RT @OurAmercnRights: What's sad @realDonaldTrump  is how thin your skin is.. https://t.co/hrYroCjdlu,Earth,neu
9,RT @billyeichner: .@realDonaldTrump do u watch my shows,A local trash can near you.,neu
10,@xtop @jonrosenberg @realDonaldTrump don't waste my time come at me with something bruh or go to bed,the 1st millenial chi-raq,pos
11,"@realDonaldTrump Don't you have something better to do than sit around tweeting all night? Like googling ""what does… https://t.co/0rWYunmM4T","South Dakota, USA",pos
12,"RT @Lrihendry: African Muslims swarm Mexican border before entering US! 

Something is going down! 

https://t.co/6pCZycSr34… ","Carrollton, Tx",neg
13,@realDonaldTrump just broke 40 years of American Protocol and he's worried about #SNL? Fix your priorities President-Elect!,"Burbank, CA",neg
14,RT @riotwomennn: Donald &amp; intelligence briefings  ... these things are not compatible  @realDonaldTrump #snl https://t.co/zclmZQDJux,"Lubbock, TX",pos
15,RT @MichaelCohen212: I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain. RT if you stand with him as wel… ,"Bay Area, CA",pos
16,@BaronMatrix @realDonaldTrump I googled your crosscheck.  Couldn't find a credible unbiased source.  No MSM coverage?,"Conservative, Ontario",neg
17,"RT @SebGorka: AUDIO

Mad Dog. 

A sublime warrior

A SUPERB choice

My take:
https://t.co/DIcLkVlsWL

@realDonaldTrump @GenFlynn… ","San Francisco, CA",neg
18,@realDonaldTrump you know it was funny! Retweet me!,"Ocala, FL",pos
19,@payne_pm @ArianaRosaleen @adamgabbatt @realDonaldTrump Quite unlike the rest of the real world.,"Oakland, CA",neu
20,"It's a train wreck, is what it is. https://t.co/xjrBYOamFW",Pacific Northwest ,neg
21,"RT @davidaxelrod: Dialing the Dictators, new reality show concept from @realDonaldTrump! This should concern any SecState candidate.
https:…","Westchester, New York",neu
22,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…","Memphis, TN",pos
23,"@SarahClapp @realDonaldTrump on the inside, he's crying https://t.co/zdmpCq5vJb","California, USA",neg
24,RT @rowemichael: @realDonaldTrump What in God's name is wrong with you? You're the President Elect of the USA. Get off Twitter and start ac…,"San Francisco, CA USA",neg
25,@realDonaldTrump Donald J. Trump or Donald J. Clinton? Cabinet post for Lady Klynton Kissinger-Sachs wldn't be a shocker at this point. SAD!,"Oshkosh, WI",neg
26,RT @billyeichner: .@realDonaldTrump do u watch my shows,Wellington,neu
27,@kbeninato @wilw Replace the Baldwin bit with POTUS and he just quoted exactly how the rest of us feel about @realDonaldTrump,In the moment,neg
28,It is good that he doesn't. Will shake up international politics. We are sick of tge status quo. @realDonaldTrump https://t.co/4NfLdhs8iX,"Eagle Point, Victoria",neg
29,@realDonaldTrump so you can dish it out but can't take it,"California, USA",neu
30,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Philly/NYC/your guess,pos
