,0
0,Old mate @realDonaldTrump is in for a long presidency if he can't handle a comedy skit or 2... https://t.co/YVKEUP5km8
1,"RT @Warmustbeend123: @ABFalecbaldwin Alec, on next week's SNL, please play @realDonaldTrump mocking u online and calling u one-sided and un…"
2,@realDonaldTrump Boy King Donnie making George W Bush look intelligent since 1946! ??? https://t.co/Em8xXe3NW0
3,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
4,RT @ignatzz: @realDonaldTrump The whole country thinks Baldwin has you DOWN.  You actually do look that stupid.  Really.
5,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
6,RT @katbkm_b: I agree almost as nerve racking as actual election #TheSilentMajority silent no more @realDonaldTrump… 
7,"RT @ObiWine_Kenobi: .@realDonaldTrump You called Taiwan &amp; didn't know that was A Thing, or Taiwan called &amp; you didn't know you were being p…"
8,RT @OurAmercnRights: What's sad @realDonaldTrump  is how thin your skin is.. https://t.co/hrYroCjdlu
9,RT @billyeichner: .@realDonaldTrump do u watch my shows
10,@xtop @jonrosenberg @realDonaldTrump don't waste my time come at me with something bruh or go to bed
11,"@realDonaldTrump Don't you have something better to do than sit around tweeting all night? Like googling ""what does… https://t.co/0rWYunmM4T"
12,"RT @Lrihendry: African Muslims swarm Mexican border before entering US! 

Something is going down! 

https://t.co/6pCZycSr34… "
13,@realDonaldTrump just broke 40 years of American Protocol and he's worried about #SNL? Fix your priorities President-Elect!
14,RT @riotwomennn: Donald &amp; intelligence briefings  ... these things are not compatible  @realDonaldTrump #snl https://t.co/zclmZQDJux
15,RT @MichaelCohen212: I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain. RT if you stand with him as wel… 
16,@BaronMatrix @realDonaldTrump I googled your crosscheck.  Couldn't find a credible unbiased source.  No MSM coverage?
17,"RT @SebGorka: AUDIO

Mad Dog. 

A sublime warrior

A SUPERB choice

My take:
https://t.co/DIcLkVlsWL

@realDonaldTrump @GenFlynn… "
18,@realDonaldTrump you know it was funny! Retweet me!
19,@payne_pm @ArianaRosaleen @adamgabbatt @realDonaldTrump Quite unlike the rest of the real world.
20,"It's a train wreck, is what it is. https://t.co/xjrBYOamFW"
21,"RT @davidaxelrod: Dialing the Dictators, new reality show concept from @realDonaldTrump! This should concern any SecState candidate.
https:…"
22,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…"
23,"@SarahClapp @realDonaldTrump on the inside, he's crying https://t.co/zdmpCq5vJb"
24,RT @rowemichael: @realDonaldTrump What in God's name is wrong with you? You're the President Elect of the USA. Get off Twitter and start ac…
25,@realDonaldTrump Donald J. Trump or Donald J. Clinton? Cabinet post for Lady Klynton Kissinger-Sachs wldn't be a shocker at this point. SAD!
26,RT @billyeichner: .@realDonaldTrump do u watch my shows
27,@kbeninato @wilw Replace the Baldwin bit with POTUS and he just quoted exactly how the rest of us feel about @realDonaldTrump
28,It is good that he doesn't. Will shake up international politics. We are sick of tge status quo. @realDonaldTrump https://t.co/4NfLdhs8iX
29,@realDonaldTrump so you can dish it out but can't take it
30,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
31,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
32,RT @Polys67: @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump incorrect! Saved 1k jobs by cutting $7M in taxes over 10yrs ? oh and he's not…
33,"Oh, it's funny @realDonaldTrump, so get use to it.
If Goerge Bush could handle w/ Lil' Bush, you can deal w/ @nbcsnl https://t.co/XMssLy0MSS"
34,@ArtemR @realDonaldTrump @nbcsnl Me too! ???
35,"RT @runswithwaves: @realDonaldTrump um you're going to be the leader of the free world &amp; you're watching SNL? And on Twitter? 
Now that's s…"
36,RT @ColMorrisDavis: No time to attend national security briefings but time to do this ... the very not presidential @realDonaldTrump https:…
37,@SliceofPizzaHRC @realDonaldTrump Trump followers r harassing trolls that hate free speech -dont tweet me like you care abt my rights! #
38,"@realDonaldTrump Don't Tweet if you can't take the heat.
#truthhurts #SNL #itsfunnybecauseitstrue"
39,"@softbutchkate @realDonaldTrump true. he has so few opinions, but they're all shit so it sounds like he has a lot more than he actually does"
40,RT @HarveyLawson1: #TrumpLeaks  China's President Xi Jinping makes a personal call to @HillaryClinton requesting more info on the status of…
41,@realDonaldTrump it's so easy (and fun) to mimic your style and verbiage on Twitter. Wow!
42,@Polys67 @neob82201 @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump not a 1000 jobs just 800 and still lost 1300 in a country of millions
43,"RT @brunelldonald: Midnight prayers 4 the sick + shut in, homeless, unemployed, domestic violence victims, PE @realDonaldTrump + VPE… "
44,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
45,"Buddy, my attic is not an industry and I would have had to have succeeded at some point to have failed https://t.co/5ZJTovGx7L"
46,I'm looking forward to watching SNL tomorrow to see if anything was on but im guessing something was. https://t.co/DJmcqNEbAZ
47,RT @cparkeast1: @realDonaldTrump you're crazy. Really. He does a great you. https://t.co/RiBocE7k4A
48,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
49,@realDonaldTrump yeah they make fun of the president on that show... and you are like...if they could write a president to make fun of
50,"@ABFalecbaldwin @realDonaldTrump
Alec you're pathetic. Why not do something productive with your life? Hollywood is yesterday."
51,". @realDonaldTrump funny, thats the same reaction I had to your  win, ass hat"
52,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
53,RT @thebenshow: .@realDonaldTrump did you know Alec Baldwin is Muslim?
