,Text
0,"RT @seanhannity: .@neg? blames Colin Powell for her use of private Email, Powell fires back "
1,It is past time for women to take their rightful place. @neg? #Hillary2016 #ImWithHer #GOPdebate 
2,"@CNN @hillaryclinton @wsj @SenSanders @WSJ @abc HRC usual tactic of lie,lie,lie, evade, or delay. Same ol' Hillary! "
3,Your clothing line is made off shores.  
4,@miner333 @HillaryClinton  it's an ugly word...but the word applies to her.
5,RT @NeilTurner_: @HillaryClinton Hillary cannot be trusted with classified information. #ExposeHillary #Reckless 
6,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http"
7,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back "
8,RT @finnygo: #colinpowell office statement to @foxnews on @HillaryClinton 
9,@realDonaldTrump forgot to mention the GOP congress is to blame for the state of the country @HRC2016VOTEBLUE @donmarvin @HillaryClinton
10,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https
11,RT @AceRealityCheck: 10 Things @realDonaldTrump Supporters Are Too Stupid To Realize  - #DimWitDonnie #DumpTrump @Hi
12,"RT @bob_owens: .@HillaryClinton There is no ""free."" You're sticking these students and their children and their children with the bill, plu"
13,@Gene_Starwind @HillaryClinton @thinkprogress  where these questions also raised when Reagan was running in this matter especially 2nd term?
14,@SenateMajLdr @SpeakerRyan @GOP @clairecmc @HillaryClinton @NancyPelosi @SenWarren @SenFeinstein @timkaine THUGS! pW1
15,RT @onlinesarcasm: .@gene70 That was sarcasm. Oh you can be the next Bill Murray! Like if you agree or Reply with #Yes or #No 
16,RT @ShaneMosley_: I would like 2 do my own honest poll. Who is voting 4 @realDonaldTrump &amp; who is 4 @HillaryClinton. @MichaelCohen212
17,"If uwant 2know who will b President that is present&amp;amongst the ppl, turn on tv, @realDonaldTrump out there daily. Where's @HillaryClinton?"
18,@SeamasBelfast @HillaryClinton nah. Eisenhower is bae. P.S. @billclinton gutted Glass Stegal because Alan Greenspan told him to.
19,"@tennyman2 @FoxNews @realDonaldTrump @HillaryClinton @POTUS Apparently you missed the $trillion Obama bill on ""not so shovel ready jobs"""
20,.@FoxNews Hooray! Finally a candidate who speaks truth to African-Americans! Not like pandering @HillaryClinton #CNN p
21,"Banned from owning guns?
@HillaryClinton should be banned from being protected by them!
#gunsense
"
22,@HillaryforOH @HillaryClinton ask her about TPP the gold standar....= job loss open your eyes!
23,"@HillaryClinton @billclinton gift him a one way ticket out of this country &amp; go w him.  Bye Bye! 
#careercriminal #Benghazi #NeverHer #MAGA"
24,@Deadhead1965 @STKnutsen @HillaryClinton @realDonaldTrump that is an excellent point!
25,@HillaryClinton Shame Hillary when your lies aren't working throw Colin Powell under the bus your lack of leadership skills begin to surface
26,RT @sumatrat: What do we have to lose - FREEDOM. Our actual freedom.  se78t4qON
27,@FoxNews @HillaryClinton  Trump 2.0..pandering to African Americans and Latinos....pants on fire
28,@HillaryClinton says visiting flood victims would be a distraction.  Translation: I'm not wasting my time and getting my pantsuit dirty
29,RT @theboom1: @SupaReaper @KerinLeone @HillaryClinton @realDonaldTrump @DrJillStein i will go into the night knowing i did - 
30,"#syrianboy was tied with big corp's that paid of @HillaryClinton to help ravaged Syria, and start ISIS through libya this is an outrage!"
