,Text
0,"@_tanaii @DJD @HillaryClinton stop being sexist, start supporting hillary. #ImWithHer"
1,@TeddyDavisCNN @CNN @HillaryClinton Please get Trump off the air now. Stop airing his entire rallies!! There has to be other news to cover
2,RT @AceRealityCheck: State Department Confirms @HillaryClinton NEVER Used Her Position For Personal Gain -  @StateDe
3,RT @matthewsdolan: .@realDonaldTrump going hard against @HillaryClinton on who would best represent interests of African Americans. @freep
4,"RT @Bikers4Trump: Happy #WorldPhotoDay to Lyin' Crooked @HillaryClinton!
#LockHerUp &amp; Join us at 
#RETWEET "
5,"@HillaryClinton #artofsuccess a new world order comes and goes,so as opportunity,  efforts must champion a rainbow focused nation of winners"
6,@hale_razor @MattMackowiak @HillaryClinton And you think EVERY foundation must make flood relief a priority?
7,"Another @HillaryClinton Lie.  If all this talk is not a lie, then she is without a doublt incompetent. #Liars "
8,"RT @USAneedsTRUMP: @HillaryClinton you care about Louisiana flood victims as much as you did Haiti, not at all! "
9,"@HillaryClinton #disingenuous

Clintons charity is to themselves -  - @washtimes"
10,"Retweeted Hillary Clinton (@HillaryClinton):

We know that giving millionaires huge tax breaks doesn't help our... "
11,"RT @PlaysTrumpCard: 1. lol
2. #WheresHillary
3. hey @cher its not Dr. Drews fault that @HillaryClinton is literally unfit for @POTUS https:"
12,"RT @TwinmomSue: When @HillaryClinton supporters start committing hate crimes in record numbers I will be convinced that she is a bigot.
@re"
13,RT @303john: @HillaryClinton cant be bothered. She is taking her blood thinners. #WheresHillary p
14,RT @beachluv_r: @Dragonsnestling @abettertattoo @GinoTheBeagle @seanhannity @HillaryClinton i will make sure i have a good wine to watch tr
15,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:"
16,@HillaryClinton because they don't want terrorist in their country.... 
17,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https"
18,@HillaryClinton Enough with your lies America deserve better than you @HFA @oprah #HillaryLies #HillaryHealth tdatm6I6N
19,Welcome to USAs campaign of people FED UP w/Obama/@HillaryClinton Come JOIN us &amp; vote for @realDonaldTrump for TRUTH 
20,@URAFRAUD1 @mcuban @HillaryClinton Did you have a loving relationship with your mother? Did she tell you she loves you a lot? You are safe.
21,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:"
22,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:"
